Year,Month,Lat,Lon,Individual count,Sex,Life stage,Identification verification status,Dataset name,Country,State/Province
2009,6,50.120782,-5.705209,8,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,6,56.864737,-6.192863,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1989,6,54.13638889,-4.461388889,15,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2009,6,50.07891,-5.70861,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1999,6,54.240945,-4.780512,5,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1989,7,55.684444,-5.165833,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1993,7,51.06666667,-8.05,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2009,6,50.032,-5.677,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1989,6,,,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2012,7,50.11963729,-5.721668535,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,7,54.05894167,-4.754852778,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1995,6,,,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2005,7,50.585471,-4.936509,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2011,6,54.05565,-4.788666667,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,6,54.2783,-4.82,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2010,6,50.034,-5.674,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1989,7,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
1999,7,49.836282,-5.572889,37,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,6,54.04471389,-4.624827778,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1999,6,50.12398529,-5.715989113,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,7,54.24026667,-4.702683333,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1989,7,50.10138889,-5.076666667,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2008,7,54.43745556,-4.364625,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,7,57.73236,-7.000684,,,,Accepted,Visual sightings data set 2003-2017,United Kingdom,Scotland
2006,6,50.03914436,-5.058826342,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2010,7,50.03467002,-5.677369215,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1997,7,50.02252579,-5.096516132,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2011,6,54.06518333,-4.8088,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2001,7,50.03444672,-5.674146652,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,6,50.0391,-5.655,5,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2005,6,54.50027778,-4.783555556,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,7,54.085,-4.76866,,,,Unconfirmed,Isle of Man wildlife records from 01/01/2000 to 13/02/2017,United Kingdom,Isle of Man
2013,6,56.556527,-6.889318,13,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1999,6,50.02183533,-5.674579144,20,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2005,6,58.1,-5.63,5,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1999,6,50.12398529,-5.715989113,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2009,6,50.035977,-5.269908,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2013,6,56.55849,-6.7422,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2008,6,54.2375,-4.715016667,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2003,6,51.444444,-8.916944,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2003,6,50.294746,-4.078118,9,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,7,54.22641389,-4.700116667,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2000,6,54.173166,-4.742821,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2004,7,54.06634,-4.79798,,,,Unconfirmed,Isle of Man wildlife records from 01/01/2000 to 13/02/2017,United Kingdom,Isle of Man
2009,6,50.032,-5.677,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2012,6,54.067,-4.731383333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1988,6,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
1988,7,55.698338,-5.327447,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1999,6,50.69646835,-4.691774368,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,7,54.22776389,-4.696413889,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1989,7,54.7275,-4.966389,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2005,7,57.013,-5.8297,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,7,56.54942,-6.943633,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1989,7,51.1725,-4.689444444,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2009,6,50.11120375,-5.441176275,11,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2008,7,58.251649,-5.408961,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1994,6,,,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
1989,6,,,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2013,6,56.603832,-6.672117,,,,Accepted,Visual sightings data set 2003-2017,United Kingdom,Scotland
2007,7,54.1915,-4.736333333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,6,50.03467002,-5.677369215,6,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1992,7,49.87,-2.3,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2008,6,54.087975,-4.773522222,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2013,6,54.064475,-4.726565,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2007,7,54.07422222,-4.790833333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1988,7,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
1993,6,52.583333,-9.966667,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2005,7,56.9631,-5.8623,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2005,7,50.094,-5.4288,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2008,7,56.90177,-5.984216,,,,Accepted,Visual sightings data set 2003-2017,United Kingdom,Scotland
2008,7,54.22881389,-4.703833333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2008,6,54.22708333,-4.69535,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2001,6,50.06126022,-5.564388275,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2004,7,54.06634,-4.79798,,,,Unconfirmed,Isle of Man wildlife records from 01/01/2000 to 13/02/2017,United Kingdom,Isle of Man
1989,7,50.17666667,-4.955277778,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2015,7,52.216867,-4.550049,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Wales
2001,6,49.835206,-5.578398,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1991,7,54.18,-4.8,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2012,7,50.31,-5.262,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2005,6,50.4235,-5.0543,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2010,7,56.64324,-6.65405,,,,Accepted,Visual sightings data set 2003-2017,United Kingdom,Scotland
2005,6,57.381946,-6.551551,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2008,7,54.05948333,-4.79425,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,6,50.0476,-5.5702,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1998,7,,,6,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
1989,6,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2009,7,54.067,-4.733,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1997,6,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2010,6,56.584,-6.622,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2009,6,50.032,-5.677,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2012,7,50.09449657,-5.006409534,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1988,6,54.075,-4.797222222,10,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1989,7,54.00472222,-4.766666667,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2004,6,50.30555556,-5.572777778,8,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2012,7,50.08328357,-5.704865007,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2008,6,54.08625833,-4.782986111,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2001,6,49.845765,-5.528902,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2012,7,50.103912,-5.700445,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2004,6,50.0464,-5.028933333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2000,7,51.78333333,-7.933333333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2012,6,50.0303,-5.6637,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1990,7,50.20361111,-3.870833333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,7,50.101389,-5.451389,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,6,50.16562529,-5.038885948,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2010,7,56.65153,-6.634349,,,,Accepted,Visual sightings data set 2003-2017,United Kingdom,Scotland
2006,7,56.3407,-6.463,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2009,6,50.09272377,-5.365725209,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2009,6,50.032,-5.677,22,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2005,6,57.0629,-5.8885,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1988,6,,,7,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2006,7,57.07397,-6.618167,,,,Accepted,Visual sightings data set 2003-2017,United Kingdom,Scotland
1996,6,50.28333333,-3.583333333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2013,7,55.69306793,-5.100402832,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2002,6,49.0422,-2.6907,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2006,7,50.59321732,-4.923610684,25,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,6,56.6674,-6.5641,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2008,7,54.22721111,-4.703730556,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2009,6,50.1634713,-5.673248027,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1989,6,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2013,6,56.56029,-6.74735,9,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2002,7,54.86690861,-5.700116667,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Northern Ireland
2004,7,56.8158,-6.2136,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,6,57.692,-6.411,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2007,7,54.08647222,-4.772888889,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,6,50.04183456,-5.649973514,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2000,6,50.05096054,-5.577599525,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,7,50.03467002,-5.677369215,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,7,54.201692,-4.871842,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,7,57.0742,-6.5534,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1999,7,49.839732,-5.559594,5,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1993,7,50.60085678,-4.926581383,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2011,6,58.93949,-3.07747,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2008,7,58.368356,-5.173471,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2001,6,50.27254,-5.804679,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,7,56.46158,-6.818601,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2007,7,54.23866667,-4.8145,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,6,55.57928,-6.18792,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1991,7,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
1999,6,50.59466171,-4.813141823,9,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2009,6,54.024,-4.821,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2004,6,54.175,-4.725,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1989,6,54.13638889,-4.461388889,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2008,6,54.22891667,-4.704138889,18,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2010,6,50.034,-5.674,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1988,6,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2009,6,56.62695,-6.82985,,,,Accepted,Visual sightings data set 2003-2017,United Kingdom,Scotland
2010,6,54.18878333,-4.73225,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2010,6,50.04299526,-5.64167835,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2010,7,56.606,-6.324,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1999,6,50.03041458,-5.687806606,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2008,7,55.645303,-5.137665,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,6,51.1829,-4.631,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2005,7,57.153748,-7.298055,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,6,50.06219271,-5.717216028,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1989,7,,,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2009,7,54.052,-4.75,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2010,6,50.034,-5.674,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1991,7,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2008,6,54.23213333,-4.698666667,5,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2004,7,54.275,-4.825,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2004,7,56.63007,-6.775128,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,7,58.3675,-5.1741,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2009,7,54.052,-4.75,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2001,6,50.11119461,-5.721992016,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2010,7,54.23416667,-4.699,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2009,7,54.087,-4.778,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2005,6,49.7887,-5.078,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,7,58.300571,-6.846883,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2008,7,54.08850556,-4.772019444,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1988,6,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2002,7,49.96333333,-5.183333333,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2010,7,58.202,-6.308,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1993,6,50.28067398,-6.009013176,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,6,50.04183456,-5.649973514,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2002,7,50.821512,-4.837366,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2009,7,54.232,-4.709,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1992,7,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2010,6,50.569712,-4.969597,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,6,54.0633,-4.6373,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1990,6,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2005,7,50.21,-3.66,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2001,6,50.27254,-5.804679,20,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2009,7,54.2,-4.717,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1998,6,,,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
2007,7,54.08336389,-4.773986111,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
